no,bulan,tanggal,pair,metode,arah,timeframe,sesi,lot,entry,sl,tp,risk_rp,reward_rp,rr_target,hasil_wl,hasil_rp,rr_actual,pip,drawdown_pct,running_equity,dd_dari_peak,emosi,alasan_entry,catatan,screenshot
27.0,Bulan 1,2026-06-15 00:00:00,BTCUSD,Reversal Batas,SELL,H1,,0.01,66331.77,66957.21,64794.19,,,,LOSS,,,,0,594.6,0,Tenang,trend masih kuat turun dan udah di area konfirmasi dan sudah ada 1 candel merah hammer ,harus ikutin sajah trend nya jangan pernah ngelawan trend ,https://drive.google.com/file/d/1IEH2pvsQRMExN4uxHZmKUxqb4xeO843u/view?usp=drivesdk
28.0,Bulan 1,2026-06-16 00:00:00,BTCUSD,Breakout Ranging,BUY,H1,,0.01,66352.40,65350.79,70290.40,,,,LOSS,,,,0,594.6,0,Tenang,trend masih kuat naik mengikuti trend ,trend biasa memantul di area strong resisten nya,https://drive.google.com/file/d/1cUrMH4hdgzQ8p5qnAIRGuU07WHx3Ls3h/view?usp=drivesdk
29.0,Bulan 1,2026-06-18 00:00:00,XAUUSD,Reversal Batas,BUY,H1,,0.01,4303049.0,4237727.0,4376797.0,65322,73748,1.128991764,LOSS,,0,653220,0,594.6,0,Tenang,mengikuti trend naik ,tunggu konfirmasi ke area penting dan SL harus di strong ,https://drive.google.com/file/d/117Ae7CCRs3zBGeYqT8npwD5zZWLGjRzC/view?usp=drivesdk
30.0,Bulan 1,2026-06-18 00:00:00,BTCUSD,Reversal Batas,BUY,H1,,0.01,65315.08,63488.53,67161.07,,,,LOSS,,,,0,594.6,0,Tenang,mengikuti trend besar dan ada trend kecil,entry bukan di area penting dan trend kecil nya masih kuat turun ,https://drive.google.com/file/d/10LtZ_OLmJkvy-y_H0srhcOP3kfQOgX5m/view?usp=drivesdk
31.0,Bulan 1,2026-06-18 00:00:00,XAUUSD,Reversal Batas,BUY,H1,,0.01,4305905.0,4261081.0,4372998.0,44824,67093,1.496809745,LOSS,,0,448240,0,594.6,0,Tenang,mengikuti trend besar dan ada trend kecil ,entry bukan di area penting nya,https://drive.google.com/file/d/1rIquPl0nKMDg0kA1QFmCu8nzkgZLFCsB/view?usp=drivesdk
32.0,Bulan 1,2026-06-19 00:00:00,XAUUSD,Breakout Ranging,SELL,H1,,0.01,4205530.0,4248827.0,4131223.0,43297,74307,1.716215904,WIN,,0,-743070,0,594.6,0,Percaya Diri,mengikuti trend dan sudah ngbreakot support ,sesuai dengan metode nya,https://drive.google.com/file/d/1OoynqVcCM49aqRJ8xwQIrPF_brL5rvpY/view?usp=drivesdk
33.0,Bulan 1,2026-06-19 00:00:00,BTCUSD,Reversal Batas,SELL,H1,,0.01,62926.37,64038.89,61536.90,,,,LOSS,,,,0,594.6,0,Percaya Diri,mengikuti trend dan sudah ngbreakot support dan ada momentum candel,trend berubah ,https://drive.google.com/file/d/1PTY3hubMd1nKzDqlRa83mlXoZdLAiY23/view?usp=drivesdk
34.0,Bulan 1,2026-06-19 00:00:00,XAUUSD,Reversal Batas,SELL,H1,,0.01,4172614.0,4200783.0,4120824.0,28169,51790,1.838545919,LOSS,,0,281690,0,594.6,0,Percaya Diri,mengikuti trend dan sudah ngbreakot support dan revesal di area resisten ,berubah trendnya,https://drive.google.com/file/d/1c230rBwD9WKHdWjBwZIeNFcdrWieFx4m/view?usp=drivesdk
35.0,Bulan 1,2026-06-20 00:00:00,BTCUSD,Reversal Batas,SELL,H1,,0.01,63593.43,64043.28,62571.74,,,,LOSS,,,,0,594.6,0,Percaya Diri,sudah di area resisten strongnya ,trend berubah ,https://drive.google.com/file/d/1PTY3hubMd1nKzDqlRa83mlXoZdLAiY23/view?usp=drivesdk
36.0,Bulan 1,2026-06-21 00:00:00,BTCUSD,Breakout Ranging,BUY,H1,,0.01,64016.77,63566.94,64723.77,,,,LOSS,,,,0,594.6,0,Percaya Diri,area resisten sudah ke breakout ,trend masih kuat turun ,https://drive.google.com/file/d/1YBPF9KtyTfSjjKvO-NDP7J4LAilRUmRB/view?usp=drivesdk
