,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,Equity,,,SL Harian,,,Win Rate,,,Profit Factor,,,Expectancy,,,Max DD,,,,,,,,
,,1.000.000,,,500.000,,,"40,6%",,,"2,67",,,79,,,"45,3%",,,,,,,,
,,IDENTIFIKASI SETUP,,,,,,RISK MANAGEMENT,,,,,,,HASIL,,,,STATISTIK AUTO,,,PSIKOLOGI & ANALISIS,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
No,Bln,Tanggal,"Pair
↓","Metode
↓","Arah
↓","TF
↓","Sesi
↓",Lot,Entry,SL,TP,"Risk
(Rp) auto","Reward
(Rp) auto","R:R
Target","W/L
↓","Hasil
(Rp)","R:R
Actual","Pip
+/-","Drawdown
%","Running
Equity","DD dari
Peak","Emosi
↓","Alasan Entry
(sesuai plan?)",Catatan / Pelajaran,"Screenshot
(link/nama file)"
52,Bulan 1,24/06/26,XAUUSD,Reversal Batas,SELL,H1,,"0,01","4.017.723,00","4.054.644,00","3.964.036,00",36.921,53.687,"1,5x",WIN,,"0,0x","-536870,0","0,0%",595,"0,0%",Tenang,area masih kuat turun dan sudah di area resisten ,sesuai dengan metodenya ,https://drive.google.com/file/d/1EPWrzJoEA3dvwENwNBE2-n70sBEvfKNC/view?usp=drivesdk
53,Bulan 1,24/06/26,XAUUSD,Reversal Batas,SELL,H1,,"0,01","4.012,05","4.044,60","3.961,65",33,50,"1,5x",LOSS,,"0,0x","325,5","0,0%",595,"0,0%",Tenang,sudah di area resitenya,trend sudah berubah ,
54,Bulan 1,24/06/26,BTCUSD,Reversal Batas,BUY,H1,,"0,01","60.983,66","60.321,57","62.593,49",7,16,"2,4x",LOSS,,"0,0x","662,1","0,0%",595,"0,0%",Tenang,ada momentum dan sudah ngebrekoaut area resisten sebelumnya , jangan enrty di momen yang belum terjadi metodenya dan ya belum ada konfirmasi yang jelas tadi di metodenya ,
55,Bulan 1,25/06/26,BTCUSD,Reversal Batas,BUY,H1,,"0,01",61185.44,60537.40,62596.11,,,,LOSS,,,,"0,0%",595,"0,0%",Tenang,sudah di area support ,melawan trend jadi jangan pernah ngelawan trend ,
56,Bulan 1,25/06/26,BTCUSD,Reversal Batas,SELL,H1,,"0,01",59371.53,59977.51,58206.58,,,,LOSS,,,,"0,0%",595,"0,0%",Tenang,sudah ngbreakot support dan menyentuh resisten nya,trend sudah berubah ,
57,Bulan 1,26/06/26,BTCUSD,Reversal Batas,BUY,H1,,"0,01",,,,0,0,,LOSS,,,"0,0","0,0%",595,"0,0%",Tenang,sudah di area support ,bukan di area support strong nya,
58,Bulan 1,26/06/26,XAUUSD,Reversal Batas,BUY,H1,,"0,01",,,,0,0,,LOSS,,,"0,0","0,0%",595,"0,0%",Tenang,bukan entry di area support strong nya,harus tunggu konfirmasi nya,
59,Bulan 1,26/06/26,BTCUSD,Reversal Batas,BUY,H1,,"0,01",,,,0,0,,WIN,,,"0,0","0,0%",595,"0,0%",Tenang,sudah ada di area support strong ,sesuai dengan metodenya ,
60,Bulan 1,26/06/26,XAUUSD,Reversal Batas,BUY,H1,,"0,01",,,,0,0,,WIN,,,"0,0","0,0%",595,"0,0%",Tenang,sudah di area support ,sesuai dengan metodenya ,
61,Bulan 1,26/06/26,XAUUSD,Breakout Ranging,BUY,H1,,"0,01","40.448,97","4.023,64","4.077,84",36.425,36.371,"1,0x",WIN,,"0,0x","363711,4","0,0%",595,"0,0%",Percaya Diri,sudah ngbreakout area resitenya ,sesuai dengan metodenya ,
62,Bulan 1,26/06/26,BTCUSD,Reversal Batas,BUY,H1,,"0,01","59.410,40","58.902,69","60.557,03",5,11,"2,3x",LOSS,,"0,0x","507,7","0,0%",595,"0,0%",Tenang,sudah di area support ,support bukan di strong nya,
63,Bulan 1,29/06/26,XAUUSD,Reversal Batas,BUY,H1,,"0,01","4.036,79","4.020,53","4.087,03",16,50,"3,1x",LOSS,,"0,0x","162,6","0,0%",595,"0,0%",Percaya Diri,sudah di area support strongnya,SL nya bukan di area strong ,
