,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,Equity,,,SL Harian,,,Win Rate,,,Profit Factor,,,Expectancy,,,Max DD,,,,,,,,
,,1.000.000,,,500.000,,,"40,6%",,,"2,67",,,79,,,"45,3%",,,,,,,,
,,IDENTIFIKASI SETUP,,,,,,RISK MANAGEMENT,,,,,,,HASIL,,,,STATISTIK AUTO,,,PSIKOLOGI & ANALISIS,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
No,Bln,Tanggal,"Pair
↓","Metode
↓","Arah
↓","TF
↓","Sesi
↓",Lot,Entry,SL,TP,"Risk
(Rp) auto","Reward
(Rp) auto","R:R
Target","W/L
↓","Hasil
(Rp)","R:R
Actual","Pip
+/-","Drawdown
%","Running
Equity","DD dari
Peak","Emosi
↓","Alasan Entry
(sesuai plan?)",Catatan / Pelajaran,"Screenshot
(link/nama file)"
28,Bulan 1,16/06/26,BTCUSD,Breakout Ranging,BUY,H1,,"0,01",66352.40,65350.79,70290.40,,,,LOSS,,,,"0,0%",595,"0,0%",Tenang,trend masih kuat naik mengikuti trend ,trend biasa memantul di area strong resisten nya,https://drive.google.com/file/d/1cUrMH4hdgzQ8p5qnAIRGuU07WHx3Ls3h/view?usp=drivesdk
29,Bulan 1,18/06/26,XAUUSD,Reversal Batas,BUY,H1,,"0,01","4.303.049,00","4.237.727,00","4.376.797,00",65.322,73.748,"1,1x",LOSS,,"0,0x","653220,0","0,0%",595,"0,0%",Tenang,mengikuti trend naik ,tunggu konfirmasi ke area penting dan SL harus di strong ,https://drive.google.com/file/d/117Ae7CCRs3zBGeYqT8npwD5zZWLGjRzC/view?usp=drivesdk
30,Bulan 1,18/06/26,BTCUSD,Reversal Batas,BUY,H1,,"0,01",65315.08,63488.53,67161.07,,,,LOSS,,,,"0,0%",595,"0,0%",Tenang,mengikuti trend besar dan ada trend kecil,entry bukan di area penting dan trend kecil nya masih kuat turun ,https://drive.google.com/file/d/10LtZ_OLmJkvy-y_H0srhcOP3kfQOgX5m/view?usp=drivesdk
31,Bulan 1,18/06/26,XAUUSD,Reversal Batas,BUY,H1,,"0,01","4.305.905,00","4.261.081,00","4.372.998,00",44.824,67.093,"1,5x",LOSS,,"0,0x","448240,0","0,0%",595,"0,0%",Tenang,mengikuti trend besar dan ada trend kecil ,entry bukan di area penting nya,https://drive.google.com/file/d/1rIquPl0nKMDg0kA1QFmCu8nzkgZLFCsB/view?usp=drivesdk
32,Bulan 1,19/06/26,XAUUSD,Breakout Ranging,SELL,H1,,"0,01","4.205.530,00","4.248.827,00","4.131.223,00",43.297,74.307,"1,7x",WIN,,"0,0x","-743070,0","0,0%",595,"0,0%",Percaya Diri,mengikuti trend dan sudah ngbreakot support ,sesuai dengan metode nya,https://drive.google.com/file/d/1OoynqVcCM49aqRJ8xwQIrPF_brL5rvpY/view?usp=drivesdk
33,Bulan 1,19/06/26,BTCUSD,Reversal Batas,SELL,H1,,"0,01",62926.37,64038.89,61536.90,,,,LOSS,,,,"0,0%",595,"0,0%",Percaya Diri,mengikuti trend dan sudah ngbreakot support dan ada momentum candel,trend berubah ,https://drive.google.com/file/d/1PTY3hubMd1nKzDqlRa83mlXoZdLAiY23/view?usp=drivesdk
34,Bulan 1,19/06/26,XAUUSD,Reversal Batas,SELL,H1,,"0,01","4.172.614,00","4.200.783,00","4.120.824,00",28.169,51.790,"1,8x",LOSS,,"0,0x","281690,0","0,0%",595,"0,0%",Percaya Diri,mengikuti trend dan sudah ngbreakot support dan revesal di area resisten ,berubah trendnya,https://drive.google.com/file/d/1c230rBwD9WKHdWjBwZIeNFcdrWieFx4m/view?usp=drivesdk
35,Bulan 1,20/06/26,BTCUSD,Reversal Batas,SELL,H1,,"0,01",63593.43,64043.28,62571.74,,,,LOSS,,,,"0,0%",595,"0,0%",Percaya Diri,sudah di area resisten strongnya ,trend berubah ,https://drive.google.com/file/d/1PTY3hubMd1nKzDqlRa83mlXoZdLAiY23/view?usp=drivesdk
36,Bulan 1,21/06/26,BTCUSD,Breakout Ranging,BUY,H1,,"0,01",64016.77,63566.94,64723.77,,,,LOSS,,,,"0,0%",595,"0,0%",Percaya Diri,area resisten sudah ke breakout ,trend masih kuat turun ,https://drive.google.com/file/d/1YBPF9KtyTfSjjKvO-NDP7J4LAilRUmRB/view?usp=drivesdk
37,Bulan 1,22/06/26,BTCUSD,Reversal Batas,SELL,H1,,"0,01","63.879,94","64.465,12","63.105,62",6,8,"1,3x",LOSS,,"0,0x","585,2","0,0%",595,"0,0%",Tenang,area support sudah ngebreakouat dan sudah nyentuh area resitennya,sudah ngerbreakout resitenya ,https://drive.google.com/file/d/190pDnCQrlD57V8D9LKfWI4DM970ev_h0/view?usp=drivesdk
38,Bulan 1,22/06/26,XAUUSD,Breakout Ranging,BUY,H1,,"0,01","4.210,36","4.182,94","425.314,00",27,421.104,"15356,4x",LOSS,,"0,0x","274,2","0,0%",595,"0,0%",Percaya Diri,area resisten sudah ke breakout ,taro sl  bukan di strongnya ,https://drive.google.com/file/d/1mMY0LpDIa9GoL0IY7JhCyXInGH7ebbA5/view?usp=drivesdk
39,Bulan 1,22/06/26,BTCUSD,Reversal Batas,BUY,H1,,"0,01","64.032,97","63.709,61","64.707,75",3,7,"2,1x",WIN,,"0,0x","-674,8","0,0%",595,"0,0%",Tenang,area resisten sudah ke breakout dan sudah di area suppostnya,sesuai metodenya ,https://drive.google.com/file/d/1Udq0QAWJ1k5cRyavFu5y0Ey6H5l_BaQF/view?usp=drivesdk
40,Bulan 1,22/06/26,XAUUSD,Reversal Batas,BUY,H1,,"0,01","4.182,96","4.159,80","4.240.344,00",23,4.236.161,"182924,3x",LOSS,,"0,0x","231,6","0,0%",595,"0,0%",Tenang,area resisten sudah ke breakout dan sudah di area suppostnya,entry langsung masuk bukan di area support yang strong jika menggukan revesal metodenya trend nya masih kuat naik ,https://drive.google.com/file/d/1o90O61f5lyJ4kJXmh79FaiY6tSkP6w5K/view?usp=drivesdk
41,Bulan 1,22/06/26,BTCUSD,Breakout Ranging,BUY,H1,,"0,01",64613.43,64077.87,65378.73,,,,WIN,,,,"0,0%",595,"0,0%",Percaya Diri,area resisten sudah ke breakout ,sesuai dengan metode nya ,https://drive.google.com/file/d/1C8g4lJUxBneSZibRO35S0ylRnBMG7h_Z/view?usp=drivesdk
